person_uid,club_uid,scope,signed_on,effective_from,effective_until,wage_monthly,release_clause,squad_number
person-club-valencia-fs-001,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4436,221800,1
person-club-valencia-fs-002,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3797,0,2
person-club-valencia-fs-003,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2031-06-30,3791,0,3
person-club-valencia-fs-004,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4283,214150,4
person-club-valencia-fs-005,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,4083,204150,5
person-club-valencia-fs-006,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,4679,233950,6
person-club-valencia-fs-007,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4182,209100,7
person-club-valencia-fs-008,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4357,217850,8
person-club-valencia-fs-009,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4616,230800,9
person-club-valencia-fs-010,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3728,0,10
person-club-valencia-fs-011,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3927,0,11
person-club-valencia-fs-012,club-valencia-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,4384,219200,12
person-club-valencia-fs-coach,club-valencia-fs,staff,2026-07-01,2026-07-01,2027-06-30,3182,0,
person-club-guadalajara-fs-001,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4378,218900,1
person-club-guadalajara-fs-002,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3902,195100,2
person-club-guadalajara-fs-003,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3884,0,3
person-club-guadalajara-fs-004,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2031-06-30,3719,0,4
person-club-guadalajara-fs-005,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3890,0,5
person-club-guadalajara-fs-006,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3503,175150,6
person-club-guadalajara-fs-007,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4058,0,7
person-club-guadalajara-fs-008,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4255,212750,8
person-club-guadalajara-fs-009,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4188,209400,9
person-club-guadalajara-fs-010,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4189,209450,10
person-club-guadalajara-fs-011,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4169,0,11
person-club-guadalajara-fs-012,club-guadalajara-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3949,197450,12
person-club-guadalajara-fs-coach,club-guadalajara-fs,staff,2026-07-01,2026-07-01,2030-06-30,4947,0,
person-club-cartagena-fs-001,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3582,0,1
person-club-cartagena-fs-002,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3700,185000,2
person-club-cartagena-fs-003,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3701,185050,3
person-club-cartagena-fs-004,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3535,0,4
person-club-cartagena-fs-005,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4512,225600,5
person-club-cartagena-fs-006,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3766,188300,6
person-club-cartagena-fs-007,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3555,177750,7
person-club-cartagena-fs-008,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4092,0,8
person-club-cartagena-fs-009,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3925,196250,9
person-club-cartagena-fs-010,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3749,187450,10
person-club-cartagena-fs-011,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4016,200800,11
person-club-cartagena-fs-012,club-cartagena-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4053,0,12
person-club-cartagena-fs-coach,club-cartagena-fs,staff,2026-07-01,2026-07-01,2030-06-30,5131,0,
person-club-burela-fs-001,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3566,178300,1
person-club-burela-fs-002,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3964,0,2
person-club-burela-fs-003,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3698,184900,3
person-club-burela-fs-004,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4293,214650,4
person-club-burela-fs-005,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2031-06-30,3523,176150,5
person-club-burela-fs-006,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3666,0,6
person-club-burela-fs-007,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,4111,0,7
person-club-burela-fs-008,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3311,165550,8
person-club-burela-fs-009,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3667,183350,9
person-club-burela-fs-010,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4001,200050,10
person-club-burela-fs-011,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3720,186000,11
person-club-burela-fs-012,club-burela-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3740,0,12
person-club-burela-fs-coach,club-burela-fs,staff,2026-07-01,2026-07-01,2028-06-30,3451,0,
person-club-noia-fs-001,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3673,183650,1
person-club-noia-fs-002,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3794,189700,2
person-club-noia-fs-003,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3951,0,3
person-club-noia-fs-004,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3699,184950,4
person-club-noia-fs-005,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,4041,0,5
person-club-noia-fs-006,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3101,155050,6
person-club-noia-fs-007,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3912,195600,7
person-club-noia-fs-008,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,4099,204950,8
person-club-noia-fs-009,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3832,0,9
person-club-noia-fs-010,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,4213,210650,10
person-club-noia-fs-011,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,4001,0,11
person-club-noia-fs-012,club-noia-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3304,165200,12
person-club-noia-fs-coach,club-noia-fs,staff,2026-07-01,2026-07-01,2027-06-30,4220,0,
person-club-ourense-fs-001,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2942,147100,1
person-club-ourense-fs-002,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2031-06-30,3199,159950,2
person-club-ourense-fs-003,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3360,0,3
person-club-ourense-fs-004,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3698,184900,4
person-club-ourense-fs-005,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3428,0,5
person-club-ourense-fs-006,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3495,174750,6
person-club-ourense-fs-007,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3886,194300,7
person-club-ourense-fs-008,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3842,192100,8
person-club-ourense-fs-009,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3319,0,9
person-club-ourense-fs-010,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3660,183000,10
person-club-ourense-fs-011,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3945,0,11
person-club-ourense-fs-012,club-ourense-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3073,0,12
person-club-ourense-fs-coach,club-ourense-fs,staff,2026-07-01,2026-07-01,2029-06-30,4283,0,
person-club-santiago-fs-001,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3208,160400,1
person-club-santiago-fs-002,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3487,0,2
person-club-santiago-fs-003,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3424,171200,3
person-club-santiago-fs-004,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3811,190550,4
person-club-santiago-fs-005,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3838,0,5
person-club-santiago-fs-006,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3698,184900,6
person-club-santiago-fs-007,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2882,144100,7
person-club-santiago-fs-008,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3533,0,8
person-club-santiago-fs-009,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3072,153600,9
person-club-santiago-fs-010,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3086,0,10
person-club-santiago-fs-011,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3146,0,11
person-club-santiago-fs-012,club-santiago-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3359,167950,12
person-club-santiago-fs-coach,club-santiago-fs,staff,2026-07-01,2026-07-01,2028-06-30,2943,0,
person-club-vigo-fs-001,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3408,170400,1
person-club-vigo-fs-002,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,2823,141150,2
person-club-vigo-fs-003,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3465,173250,3
person-club-vigo-fs-004,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3267,0,4
person-club-vigo-fs-005,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3744,187200,5
person-club-vigo-fs-006,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3127,156350,6
person-club-vigo-fs-007,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2979,148950,7
person-club-vigo-fs-008,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3466,173300,8
person-club-vigo-fs-009,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3386,169300,9
person-club-vigo-fs-010,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3431,171550,10
person-club-vigo-fs-011,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3130,0,11
person-club-vigo-fs-012,club-vigo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3122,156100,12
person-club-vigo-fs-coach,club-vigo-fs,staff,2026-07-01,2026-07-01,2029-06-30,2766,0,
person-club-coruna-fs-001,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3011,0,1
person-club-coruna-fs-002,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2558,127900,2
person-club-coruna-fs-003,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3358,167900,3
person-club-coruna-fs-004,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3162,158100,4
person-club-coruna-fs-005,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,2818,140900,5
person-club-coruna-fs-006,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3552,177600,6
person-club-coruna-fs-007,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3020,151000,7
person-club-coruna-fs-008,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2627,0,8
person-club-coruna-fs-009,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3446,172300,9
person-club-coruna-fs-010,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3370,0,10
person-club-coruna-fs-011,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,2864,143200,11
person-club-coruna-fs-012,club-coruna-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3447,172350,12
person-club-coruna-fs-coach,club-coruna-fs,staff,2026-07-01,2026-07-01,2028-06-30,3964,0,
person-club-gijon-fs-001,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3150,157500,1
person-club-gijon-fs-002,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3424,0,2
person-club-gijon-fs-003,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3169,158450,3
person-club-gijon-fs-004,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2974,148700,4
person-club-gijon-fs-005,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3214,0,5
person-club-gijon-fs-006,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3089,154450,6
person-club-gijon-fs-007,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3184,159200,7
person-club-gijon-fs-008,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2704,135200,8
person-club-gijon-fs-009,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3370,168500,9
person-club-gijon-fs-010,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2905,145250,10
person-club-gijon-fs-011,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2731,0,11
person-club-gijon-fs-012,club-gijon-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3281,164050,12
person-club-gijon-fs-coach,club-gijon-fs,staff,2026-07-01,2026-07-01,2028-06-30,3195,0,
person-club-oviedo-fs-001,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,3431,171550,1
person-club-oviedo-fs-002,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2875,0,2
person-club-oviedo-fs-003,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2639,0,3
person-club-oviedo-fs-004,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2883,0,4
person-club-oviedo-fs-005,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2031-06-30,2979,148950,5
person-club-oviedo-fs-006,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3095,154750,6
person-club-oviedo-fs-007,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3090,0,7
person-club-oviedo-fs-008,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3081,154050,8
person-club-oviedo-fs-009,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2988,149400,9
person-club-oviedo-fs-010,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2510,125500,10
person-club-oviedo-fs-011,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3350,167500,11
person-club-oviedo-fs-012,club-oviedo-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,3142,157100,12
person-club-oviedo-fs-coach,club-oviedo-fs,staff,2026-07-01,2026-07-01,2028-06-30,3439,0,
person-club-bilbao-fs-001,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2587,129350,1
person-club-bilbao-fs-002,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,2800,0,2
person-club-bilbao-fs-003,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2395,119750,3
person-club-bilbao-fs-004,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2473,0,4
person-club-bilbao-fs-005,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2900,145000,5
person-club-bilbao-fs-006,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3013,0,6
person-club-bilbao-fs-007,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2750,137500,7
person-club-bilbao-fs-008,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,3289,164450,8
person-club-bilbao-fs-009,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,2853,0,9
person-club-bilbao-fs-010,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2479,123950,10
person-club-bilbao-fs-011,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2998,0,11
person-club-bilbao-fs-012,club-bilbao-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2546,0,12
person-club-bilbao-fs-coach,club-bilbao-fs,staff,2026-07-01,2026-07-01,2027-06-30,3339,0,
person-club-donosti-fs-001,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,2644,0,1
person-club-donosti-fs-002,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,2845,0,2
person-club-donosti-fs-003,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,2370,118500,3
person-club-donosti-fs-004,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2607,130350,4
person-club-donosti-fs-005,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2759,0,5
person-club-donosti-fs-006,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2145,107250,6
person-club-donosti-fs-007,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3129,0,7
person-club-donosti-fs-008,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2030-06-30,2433,121650,8
person-club-donosti-fs-009,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,3062,153100,9
person-club-donosti-fs-010,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2027-06-30,2927,146350,10
person-club-donosti-fs-011,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2028-06-30,2916,145800,11
person-club-donosti-fs-012,club-donosti-fs,primer_equipo,2026-07-01,2026-07-01,2029-06-30,2553,127650,12
person-club-donosti-fs-coach,club-donosti-fs,staff,2026-07-01,2026-07-01,2027-06-30,2771,0,
